Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
164	63.883995	64.306114	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
165	63.875843	64.305145	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
166	63.86158	64.36083	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
167	63.868805	64.398994	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
168	63.851105	64.485054	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
169	63.88726	64.350296	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
170	63.893738	64.33686	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
171	63.902325	64.331795	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
172	63.90809	64.31705	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
173	63.900978	64.36512	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
174	63.916485	64.34163	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
175	63.912716	64.67976	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65.671974	37.003185	 
176	63.91811	64.64172	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65.71951	36.82317	 
177	63.92523	64.686646	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65.62575	36.326347	 
178	63.9246	64.749985	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65.7875	35.8	 
179	63.914745	64.790375	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66.39308	34.87107	 
180	63.875423	64.79377	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67.684715	34.46815	 
