Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
146	63.625576	63.90185	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	83.17105	66.289474	 
147	63.624596	63.929024	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	82.7875	65.7	 
148	63.597336	63.95376	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	83.14286	64.71429	 
149	63.60742	63.975338	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	83.07317	63.439026	 
150	63.6317	63.99919	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	82.74419	63.17442	 
151	63.637108	64.012024	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	82.5	63.256096	 
152	63.606964	64.02337	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	82.55882	61.85294	 
153	63.626934	63.99431	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	82.84426	62.565575	 
154	63.721973	63.98235	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
155	63.731594	63.98744	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
156	63.698017	63.993027	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
157	63.694416	63.9951	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
158	63.690975	63.92459	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
159	63.678078	63.941376	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
160	63.67319	63.97484	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
161	63.70248	63.972824	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
